epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,1294.22,1.58132,1.43124,1.704,0.00611,1.46471,0.49312,0.53152,0.53448,0.30197,0.50655,0.52828,0.52291,0.24032,1.48776,1.2311,1.79411,0.00845,0,0.00150609,0.00150609,0.00150609
41,1326.51,1.61321,1.4437,1.75175,0.00636,1.46483,0.42721,0.44266,0.39525,0.22261,0.37021,0.47422,0.39087,0.15661,1.57599,1.42945,2.12207,0.00874,0,0.00150197,0.00150197,0.00150197
42,1358.64,1.59158,1.42939,1.77079,0.0063,1.46713,0.4851,0.55523,0.52896,0.30637,0.49728,0.55345,0.52774,0.24626,1.54999,1.41902,1.73402,0.00846,0,0.00149784,0.00149784,0.00149784
43,1390.78,1.56915,1.42877,1.75911,0.00611,1.53437,0.42717,0.5118,0.45849,0.26266,0.45688,0.53043,0.48657,0.22737,1.47548,1.26129,1.87219,0.00829,0,0.00149372,0.00149372,0.00149372
44,1423.1,1.59477,1.4164,1.75874,0.00621,1.42784,0.57602,0.42617,0.4976,0.27633,0.41346,0.57067,0.48417,0.21912,1.5489,1.31649,1.91215,0.00878,0,0.00148959,0.00148959,0.00148959
45,1455.2,1.55652,1.3832,1.71426,0.00611,1.43592,0.51579,0.51834,0.48545,0.28347,0.52908,0.5232,0.49532,0.2284,1.4798,1.36914,2.12943,0.00817,0,0.00148546,0.00148546,0.00148546
46,1487.49,1.60274,1.44396,1.70681,0.0064,1.48606,0.63601,0.52546,0.59835,0.33868,0.622,0.51814,0.58668,0.28571,1.47303,1.30269,1.64874,0.00823,0,0.00148134,0.00148134,0.00148134
47,1519.83,1.57567,1.44203,1.74367,0.00623,1.48225,0.56505,0.4528,0.4849,0.28984,0.56373,0.45341,0.4858,0.24889,1.52083,1.28149,1.70028,0.00864,0,0.00147721,0.00147721,0.00147721
48,1551.92,1.55429,1.41287,1.6923,0.00612,1.44758,0.48326,0.53986,0.49229,0.2863,0.49103,0.5321,0.51126,0.23873,1.5347,1.29167,1.9643,0.00828,0,0.00147309,0.00147309,0.00147309
49,1584.28,1.61031,1.48331,1.75632,0.00641,1.43425,0.54328,0.47659,0.50474,0.28462,0.51588,0.45448,0.4838,0.21458,1.5166,1.33955,1.74342,0.00845,0,0.00146896,0.00146896,0.00146896
50,1616.37,1.5899,1.47024,1.75376,0.00626,1.46349,0.57495,0.50007,0.55233,0.31701,0.56009,0.48631,0.5478,0.24492,1.48906,1.23115,1.71109,0.00834,0,0.00146483,0.00146483,0.00146483
51,1648.63,1.57014,1.41564,1.75237,0.00613,1.51149,0.44991,0.51525,0.42273,0.24651,0.44055,0.51154,0.41887,0.19103,1.47989,1.27495,2.09585,0.00823,0,0.00146071,0.00146071,0.00146071
52,1680.77,1.59505,1.4108,1.77383,0.00623,1.55527,0.5326,0.51217,0.49337,0.28042,0.5375,0.51903,0.49906,0.22131,1.45759,1.27052,1.81657,0.00801,0,0.00145658,0.00145658,0.00145658
53,1712.86,1.58911,1.41033,1.75267,0.00634,1.45131,0.58375,0.48622,0.51832,0.28915,0.55677,0.48158,0.51118,0.22759,1.43602,1.25662,1.83544,0.0082,0,0.00145246,0.00145246,0.00145246
54,1745.17,1.55017,1.39477,1.67561,0.00602,1.44807,0.46547,0.61301,0.49464,0.29018,0.46792,0.61657,0.5062,0.24849,1.49952,1.25073,1.72839,0.00846,0,0.00144833,0.00144833,0.00144833
55,1777.3,1.57708,1.43206,1.70854,0.00628,1.46103,0.55132,0.51954,0.5238,0.29198,0.55382,0.53033,0.5222,0.22026,1.51142,1.31524,1.65886,0.00836,0,0.00144421,0.00144421,0.00144421
56,1809.44,1.56393,1.39479,1.68892,0.00615,1.4313,0.54176,0.53208,0.51178,0.28481,0.52452,0.51311,0.49573,0.24075,1.54053,1.32779,1.86818,0.00893,0,0.00144008,0.00144008,0.00144008
57,1841.71,1.54293,1.38105,1.73652,0.00597,1.49368,0.49498,0.52651,0.5015,0.28393,0.46975,0.54739,0.49242,0.23521,1.46385,1.31004,1.74699,0.00821,0,0.00143595,0.00143595,0.00143595
58,1873.39,1.55619,1.413,1.68595,0.00597,1.47731,0.49695,0.57394,0.51566,0.29662,0.49162,0.5924,0.51516,0.23237,1.45941,1.30185,1.87846,0.00838,0,0.00143183,0.00143183,0.00143183
59,1904.8,1.52941,1.38363,1.6596,0.00607,1.40724,0.53552,0.51075,0.51507,0.29712,0.52358,0.49877,0.51775,0.25213,1.46915,1.19915,1.91978,0.00842,0,0.0014277,0.0014277,0.0014277
60,1936.2,1.54512,1.39201,1.67631,0.00603,1.4947,0.56589,0.47976,0.51777,0.28524,0.55022,0.46852,0.50905,0.22922,1.50098,1.29985,1.85976,0.00816,0,0.00142358,0.00142358,0.00142358
61,1967.5,1.56318,1.4042,1.73232,0.00627,1.48292,0.46438,0.52782,0.47351,0.26719,0.46485,0.54514,0.47573,0.20459,1.4581,1.29613,1.82389,0.0082,0,0.00141945,0.00141945,0.00141945
62,1998.83,1.56949,1.411,1.69276,0.00631,1.47866,0.53734,0.52512,0.52425,0.29155,0.52789,0.51669,0.50628,0.234,1.50013,1.22465,1.81445,0.00821,0,0.00141532,0.00141532,0.00141532
