epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,2414.14,1.539,1.38933,1.65915,0.00611,1.38599,0.53838,0.50777,0.48263,0.28277,0.52217,0.55487,0.50418,0.22255,1.4963,1.243,1.85772,0.00873,0,0.00140295,0.00140295,0.00140295
66,2450.49,1.54866,1.38378,1.63346,0.00595,1.43817,0.52967,0.52925,0.5075,0.27819,0.54458,0.53341,0.51088,0.2221,1.50884,1.25854,1.81934,0.00839,0,0.00139882,0.00139882,0.00139882
67,2486.76,1.54438,1.38377,1.65662,0.00591,1.45833,0.43665,0.56936,0.46913,0.26493,0.4499,0.58668,0.47786,0.22178,1.49525,1.23269,2.13587,0.00863,0,0.0013947,0.0013947,0.0013947
68,2523.2,1.51488,1.38401,1.64762,0.00587,1.42876,0.57297,0.46423,0.5174,0.30529,0.60475,0.50782,0.53554,0.25009,nan,nan,nan,nan,0,0.00139057,0.00139057,0.00139057
69,2559.56,1.49867,1.31872,1.60278,0.00574,1.33497,0.53544,0.54066,0.54085,0.30619,0.51775,0.55654,0.53146,0.25246,1.46175,1.251,1.92673,0.00808,0,0.00138644,0.00138644,0.00138644
70,2595.86,1.49849,1.34344,1.60785,0.00589,1.33258,0.56605,0.58079,0.59538,0.35113,0.53813,0.55149,0.57287,0.26887,nan,nan,nan,nan,0,0.00138232,0.00138232,0.00138232
71,2632.33,1.54149,1.36625,1.64514,0.006,1.39755,0.53934,0.50812,0.51278,0.30414,0.53754,0.50635,0.50769,0.24842,nan,nan,nan,nan,0,0.00137819,0.00137819,0.00137819
72,2668.76,1.55652,1.42127,1.64981,0.00608,1.3756,0.59468,0.61112,0.59512,0.33265,0.57974,0.60044,0.58395,0.2683,1.49313,1.41517,1.64799,0.00822,0,0.00137407,0.00137407,0.00137407
73,2705.07,1.52085,1.37676,1.61238,0.00593,1.34845,0.57716,0.55188,0.57536,0.34112,0.56038,0.60149,0.59494,0.28502,1.46891,1.26986,1.63587,0.00839,0,0.00136994,0.00136994,0.00136994
74,2741.49,1.50873,1.38535,1.58626,0.00584,1.35469,0.62461,0.54058,0.57114,0.33523,0.65397,0.56522,0.59816,0.24944,1.51688,1.33154,1.83411,0.00866,0,0.00136581,0.00136581,0.00136581
75,2777.94,1.54562,1.4138,1.66246,0.00614,1.46475,0.58205,0.56769,0.508,0.28959,0.58779,0.59343,0.53486,0.23099,nan,nan,nan,nan,0,0.00136169,0.00136169,0.00136169
76,2814.13,1.51611,1.35038,1.67091,0.00607,1.41048,0.59991,0.51937,0.54322,0.30416,0.5969,0.53006,0.52825,0.22209,nan,nan,nan,nan,0,0.00135756,0.00135756,0.00135756
77,2850.59,1.5339,1.40262,1.66162,0.00599,1.32074,0.59551,0.58287,0.58009,0.33727,0.57569,0.56503,0.56519,0.25229,nan,nan,nan,nan,0,0.00135344,0.00135344,0.00135344
78,2886.79,1.49197,1.35285,1.57109,0.00585,1.32318,0.59193,0.4957,0.50894,0.28535,0.60297,0.50018,0.51597,0.21307,nan,nan,nan,nan,0,0.00134931,0.00134931,0.00134931
79,2923.15,1.51279,1.36882,1.59851,0.00579,1.38802,0.51607,0.51389,0.50867,0.2842,0.50272,0.54758,0.51246,0.23737,nan,nan,nan,nan,0,0.00134519,0.00134519,0.00134519
80,2959.49,1.49743,1.34966,1.6229,0.00568,1.43281,0.62024,0.50783,0.56773,0.33281,0.62558,0.51357,0.57277,0.27152,nan,nan,nan,nan,0,0.00134106,0.00134106,0.00134106
81,2995.81,1.4772,1.327,1.56011,0.00571,1.34076,0.6491,0.53315,0.5941,0.36055,0.52238,0.65024,0.59678,0.27713,1.43054,1.26211,1.69988,0.00795,0,0.00133693,0.00133693,0.00133693
82,3032.37,1.48435,1.35128,1.57977,0.00565,1.33558,0.59512,0.57454,0.57838,0.35627,0.56967,0.59504,0.57975,0.27182,1.40137,1.22658,1.62052,0.00789,0,0.00133281,0.00133281,0.00133281
83,3068.52,1.48536,1.34298,1.56598,0.00588,1.43216,0.56337,0.5867,0.56564,0.33262,0.58179,0.57255,0.55967,0.25824,1.39375,1.22668,1.61729,0.00771,0,0.00132868,0.00132868,0.00132868
84,3104.91,1.4943,1.38524,1.62042,0.00585,1.40962,0.56929,0.51492,0.5243,0.31719,0.59195,0.53402,0.5618,0.24806,1.4488,1.26448,1.74139,0.00828,0,0.00132456,0.00132456,0.00132456
85,3140.77,1.49007,1.33414,1.57934,0.00574,1.3754,0.47485,0.53791,0.49507,0.28693,0.48321,0.56366,0.52058,0.21001,1.453,1.21556,1.85164,0.00809,0,0.00132043,0.00132043,0.00132043
86,3176.44,1.46623,1.33874,1.56659,0.00573,1.26073,0.6537,0.57873,0.59946,0.37524,0.63228,0.55785,0.58873,0.27955,nan,nan,nan,nan,0,0.0013163,0.0013163,0.0013163
87,3212.35,1.51546,1.32255,1.56428,0.00597,1.35391,0.6517,0.56188,0.61837,0.37374,0.6537,0.5601,0.60684,0.3151,1.40769,1.24521,1.7492,0.00779,0,0.00131218,0.00131218,0.00131218
88,3248.1,1.47585,1.34267,1.62356,0.00569,1.37453,0.56466,0.56591,0.58208,0.36094,0.55902,0.56931,0.55981,0.26707,1.44796,1.31178,1.86909,0.00808,0,0.00130805,0.00130805,0.00130805
89,3283.66,1.47516,1.3332,1.56144,0.00572,1.34586,0.64045,0.60803,0.6384,0.38774,0.60848,0.59427,0.62035,0.29733,1.42302,1.22182,1.51067,0.008,0,0.00130393,0.00130393,0.00130393
90,3319.27,1.4965,1.36707,1.60801,0.00588,1.37787,0.57687,0.5799,0.56374,0.3373,0.59135,0.59422,0.5832,0.26298,1.42652,1.25497,1.71396,0.00808,0,0.0012998,0.0012998,0.0012998
91,3354.87,1.46425,1.29864,1.59067,0.00576,1.38671,0.62989,0.54005,0.59955,0.34976,0.62039,0.56093,0.5924,0.2707,1.40679,1.42075,1.68368,0.0079,0,0.00129568,0.00129568,0.00129568
92,3390.25,1.46939,1.35673,1.59335,0.00573,1.36447,0.67899,0.54846,0.59122,0.33665,0.69191,0.56931,0.6015,0.27568,1.41654,1.24423,1.66978,0.00805,0,0.00129155,0.00129155,0.00129155
93,3425.97,1.46384,1.32919,1.58291,0.00582,1.35952,0.64736,0.64672,0.63167,0.3744,0.64736,0.64672,0.63037,0.2942,1.34549,1.23,1.5693,0.00747,0,0.00128742,0.00128742,0.00128742
94,3461.57,1.43662,1.29122,1.50607,0.00545,1.24641,0.59372,0.66225,0.62175,0.37226,0.61341,0.66047,0.62358,0.29663,1.49652,1.24134,1.58529,0.00833,0,0.0012833,0.0012833,0.0012833
